"IOBS","LANG_1","LANG_2","Eval_Brand","City","Type_Query_1","Type_Query_2","Type_Query_3","Type_Query_4","Type_Query_5","Type_Query_6","Q1_1","Q1_2","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q5_1","Q5_2","Q5_3","Q5_4","Q6_1","Q6_2","Q6_3_1","Q6_3_2","Q6_3_3","Q6_3_4","Q6_4_1","Q6_4_2","Q6_3_1_1","Q6_3_1_2","Q7_1","Q7_2","Q7_1_1","Q7_1_2","Q7_1_3","Q7_1_4","Q7_2_1","Q7_2_2","Q7_5_1","Q7_5_2","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_1_1","Q8_1_2","Q8_1_3","Q8_1_4","Q8_1_5","iQ1","iQ2","iQ3","iQ4","iQ5","iQ6","iQ6_4","iQ6_3","iQ7","iQ7_2","iQ7_5","iQ8","iQ8_1","iEvalArea","wEvalArea","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11"
207686110,0,1,4,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0, , ,0,1, , , , , , , , , , ,0,0,1,0,0,0,1,0,0,0,0,20,20,100,100,100, ,100, , , ,50,75,9,62.7778,9,62.7778,0,0,0,1,0,0,0,0,0,1,0,
207689846,0,1,4,2,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,100,100,60,0,100,0, , , , , ,75,75,8,63.7500,8,63.7500,0,0,0,1,0,0,0,0,0,1,0,
207690798,0,1,1,2,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0, , , , , , , , , , ,1,0,0,0,0,1,0,0,0,0,100,80,100,100,100,100,100, , , , ,100,100,9,97.7778,9,97.7778,1,0,0,0,0,0,0,0,0,1,0,
207745714,0,1,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0, , , , , , , , , , ,1,0,0,0,0,1,0,0,0,0,100,20,80,100,100,100,100, , , , ,100,100,9,88.8889,9,88.8889,0,0,0,0,0,0,1,0,1,0,0,
207826539,0,1,5,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0, , , , , , , , , , ,1,0,0,0,0,1,0,0,0,0,100,20,100,100,100,100,100, , , , ,100,100,9,91.1111,9,91.1111,0,0,0,0,1,0,0,0,0,1,0,
207894225,0,1,1,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0, , ,0,1, , , , , , , , , , ,0,0,1,0,0,0,0,1,0,0,100,60,80,100,100,100, ,100, , , ,50,50,9,82.2222,9,82.2222,1,0,0,0,0,0,0,0,0,1,0,
207920574,0,1,4,2,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0, , ,0,1, , , , , , , , , , ,0,0,1,0,0,0,0,1,0,0,100,60,60,100,100,100, ,100, , , ,50,50,9,80.0000,9,80.0000,0,0,0,1,0,0,0,0,0,1,0,
207926814,0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,0,1,0,0,100,60,80,100,100,0, , , , , ,75,50,8,70.6250,8,70.6250,1,0,0,0,0,0,0,0,0,1,0,
207926867,0,1,5,2,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,0,1,0,0,100,80,80,100,100,0, , , , , ,75,50,8,73.1250,8,73.1250,0,0,0,0,1,0,0,0,0,1,0,
207931684,0,1,7,2,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0, , , , , , , , , , ,0,1,0,0,0,1,0,0,0,0,100,100,100,100,100,100,0, , , , ,75,100,9,86.1111,9,86.1111,0,0,0,0,0,0,1,0,0,1,0,
207959339,0,1,4,2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,1,0,0,100,60,60,0,0, , , , , , ,25,50,7,42.1429,7,42.1429,0,0,0,1,0,0,0,0,0,1,0,
207980016,0,1,6,2,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0, , , , , , , , , , ,1,0,0,0,0,1,0,0,0,0,100,100,100,100,100,100,100, , , , ,100,100,9,100.0000,9,100.0000,0,0,0,0,0,1,0,0,0,1,0,
208001255,0,1,6,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,100,60,80,0,100,0, , , , , ,75,75,8,61.2500,8,61.2500,0,0,0,0,0,1,0,0,1,0,0,
208001301,0,1,6,3,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,0,1,0,0,0,0,100,60,80,0,100,0, , , , , ,50,100,8,61.2500,8,61.2500,0,0,0,0,0,1,0,0,0,0,1,
208001363,0,1,7,3,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,100,60,60,100,100,0, , , , , ,75,75,8,71.2500,8,71.2500,0,0,0,0,0,0,1,0,0,0,1,
208011468,0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,1,100,40,80,100,100,0, , , , , ,0,0,8,52.5000,8,52.5000,1,0,0,0,0,0,0,0,0,1,0,
209015650,0,1,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,1,0,20,20,0,0, , , , , , ,0,0,7,5.7143,7,5.7143,0,0,0,0,0,0,1,0,0,1,0,
