"IOBS","Lang_1","Lang_2","Eval_Brand","City","SMC_1","SMC_2","SMC_3","SMC_4","Q1_1","Q1_2","Q1_3","Q1_4","Q2_1","Q2_2","Q2_3","Q2_4","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q4_1","Q4_2","Q4_3","Q5_1","Q5_2","Q6_1","Q6_2","Q6_3","Q6_4","Q6_5","Q6_6","Q6_7","Q6_8","Q6_9","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q8_1","Q8_2","Q9_1","Q9_2","Q9_3","Q10_1","Q10_2","Q11_1","Q11_2","Q11_3","Q11_4","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","iQ1","iQ2","iQ3","iQ4","iQ5","wQ6","iQ7","iQ8","iQ9","iQ10","iQ11","iQ12","iQ13","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11","BNR1_12"
207085240,0,1,7,2,1,0,0,0,0,0,1,0, , , , ,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0, , , , , , ,0,1,0,0,0,1,0,0,0,0,0, , ,100,100,50.0000,80,100,100, , ,75,100,9,78.3333,0,0,0,0,0,0,0,1,0,0,1,0,
207090705,0,1,1,2,1,0,0,0,0,0,1,0, , , , ,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0, , , , , , ,1,0,0,0,0,1,0,0,0,0,0, ,0,100,100,62.5000,60,100,100, , ,100,100,10,72.2500,1,0,0,0,0,0,0,0,0,0,1,0,
207410130,0,1,5,2,0,0,1,0,0,0,1,0, , , , ,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0, , , , , , ,1,0,0,0,0,1,0,0,0,0,0, ,0,100,100,62.5000,100,100,100, , ,100,100,10,76.2500,0,0,0,0,1,1,0,0,0,0,1,0,
207441007,0,1,4,2,0,1,0,0,0,0,1,0, , , , ,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0, , , , , , ,0,1,0,0,0,0,1,0,0,0,0, , ,100,100,25.0000,20,100,50, , ,75,75,9,60.5556,0,0,0,1,0,1,0,0,0,0,1,0,
207449241,0,1,4,2,1,0,0,0,0,0,1,0, , , , ,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0, , , , ,0,0,0,0,1,0,0,0,0,1,0, ,100,50,0,25.0000,20,0,0,0, ,0,0,11,17.7273,0,0,0,1,0,1,0,0,0,0,1,0,
207514298,0,1,6,1,1,0,0,0,0,0,1,0, , , , ,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1, , , , , , ,0,1,0,0,0,1,0,0,0,0,0, , ,100,100,0.0000,60,100,0, , ,75,100,9,59.4444,0,0,0,0,0,0,1,0,0,1,0,0,
207523718,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,1,0,0, , , , , , , , , ,0,0,4,0.0000,1,0,0,0,0,0,0,0,0,0,1,0,
207609454,0,1,7,1,0,1,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,1,0,0,0, , , , , , , , , ,25,25,4,12.5000,0,0,0,0,0,0,0,1,0,1,0,0,
207686122,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,1,0,0, , , , , , , , , ,0,0,4,0.0000,1,0,0,0,0,0,0,0,0,0,1,0,
207694177,0,1,5,2,0,0,1,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,0,0, , , , , , , , , ,75,75,4,37.5000,0,0,0,0,1,1,0,0,0,0,1,0,
207725764,0,1,7,3,0,0,1,0,0,0,1,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0, , , , ,0,0,1,0,0,0,0,1,0,0,0, ,75,50,100,37.5000,0,0,0,0, ,50,50,11,32.9545,0,0,0,0,0,0,0,1,0,0,0,1,
207742820,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,1,0,0,0,0, , , , , , , , , ,25,50,4,18.7500,1,0,0,0,0,0,0,0,0,0,1,0,
207773644,0,1,4,2,0,0,1,0,0,0,1,0, , , , ,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0, , , , ,0,1,0,0,0,0,1,0,0,0,0, ,75,50,100,37.5000,100,0,0,0, ,75,75,11,46.5909,0,0,0,1,0,1,0,0,0,0,1,0,
207817287,0,1,4,2,0,1,0,0,0,0,1,0, , , , ,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1, , , , , , ,0,1,0,0,0,0,1,0,0,0,0, , ,100,100,12.5000,20,100,0, , ,75,75,9,53.6111,0,0,0,1,0,1,0,0,0,0,1,0,
207820344,0,1,6,3,0,0,1,0,0,1,0,0, , , , ,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0, , , , , , ,1,0,0,0,0,1,0,0,0,0,50, ,0,100,100,62.5000,100,100,100, , ,100,100,10,81.2500,0,0,0,0,0,0,1,0,0,0,0,1,
208548617,0,1,6,2,1,0,0,0,0,1,0,0, , , , ,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0, , , , , , ,1,0,0,0,0,1,0,0,0,0,50, ,0,100,100,37.5000,100,100,100, , ,100,100,10,78.7500,0,0,0,0,0,0,1,0,0,0,1,0,
